order_item_id,order_id,product_id,quantity
1,5001,1142,5
2,5001,1068,3
3,5002,1061,1
4,5002,1013,4
5,5003,1141,4
6,5003,1040,1
7,5003,1093,1
8,5004,1023,3
9,5004,1123,2
10,5005,1007,2
11,5006,1075,1
12,5007,1030,3
13,5007,1102,4
14,5008,1068,1
15,5008,1140,4
16,5009,1095,4
17,5010,1048,4
18,5010,1012,3
19,5011,1120,3
20,5011,1058,3
21,5012,1016,2
22,5012,1025,1
23,5012,1089,5
24,5013,1059,5
25,5013,1016,4
26,5014,1108,5
27,5014,1122,5
28,5014,1061,4
29,5015,1021,4
30,5015,1009,5
31,5016,1133,5
32,5016,1038,1
33,5016,1115,2
34,5017,1055,2
35,5018,1011,4
36,5019,1112,2
37,5020,1038,5
38,5020,1067,3
39,5020,1018,1
40,5021,1143,4
41,5021,1142,3
42,5022,1134,4
43,5022,1004,5
44,5023,1134,4
45,5023,1029,4
46,5023,1039,2
47,5024,1150,1
48,5024,1028,5
49,5024,1026,3
50,5025,1089,4
51,5025,1068,4
52,5025,1125,5
53,5026,1122,1
54,5026,1045,3
55,5026,1104,2
56,5027,1103,1
57,5027,1102,3
58,5027,1061,1
59,5028,1122,3
60,5028,1096,1
61,5028,1087,3
62,5029,1072,4
63,5029,1026,2
64,5030,1077,4
65,5031,1069,4
66,5031,1023,2
67,5032,1055,4
68,5032,1125,5
69,5033,1015,5
70,5033,1041,1
71,5034,1130,4
72,5034,1035,5
73,5035,1008,2
74,5035,1050,2
75,5035,1015,2
76,5036,1117,1
77,5037,1051,3
78,5037,1095,4
79,5038,1102,1
80,5038,1008,2
81,5038,1096,4
82,5039,1115,2
83,5039,1122,5
84,5039,1142,3
85,5040,1042,3
86,5040,1024,3
87,5041,1099,1
88,5042,1147,2
89,5043,1058,2
90,5044,1105,5
91,5044,1006,1
92,5045,1034,2
93,5045,1003,2
94,5046,1079,3
95,5046,1109,4
96,5047,1118,3
97,5047,1056,4
98,5048,1134,5
99,5048,1102,5
100,5049,1002,5
101,5050,1096,5
102,5050,1073,3
103,5050,1028,4
104,5051,1087,3
105,5052,1084,3
106,5052,1067,3
107,5052,1049,2
108,5053,1062,1
109,5053,1104,3
110,5053,1036,1
111,5054,1128,3
112,5054,1067,4
113,5054,1104,4
114,5055,1010,5
115,5055,1147,2
116,5055,1088,2
117,5056,1137,4
118,5056,1092,5
119,5056,1077,2
120,5057,1143,2
121,5057,1076,1
122,5057,1121,2
