order_id,customer_id,order_status,created_at
5001,307.0,completed,2024-05-09 06:49:00
5002,71.0,completed,2024-04-16 00:31:00
5003,221.0,completed,2024-06-08 22:14:00
5004,257.0,pending,2024-07-13 11:04:00
5005,204.0,completed,2024-04-03 14:58:00
5006,40.0,cancelled,2024-06-13 12:45:00
5007,328.0,completed,2024-05-22 00:20:00
5008,88.0,completed,2024-06-28 11:05:00
5009,224.0,completed,2024-06-15 12:33:00
5010,41.0,cancelled,2024-07-05 10:14:00
5011,171.0,completed,2024-06-21 03:33:00
5012,262.0,completed,2024-05-15 11:46:00
5013,331.0,completed,2024-04-19 08:12:00
5014,89.0,completed,2024-07-07 20:04:00
5015,91.0,completed,2024-07-06 18:48:00
5016,297.0,cancelled,2024-07-22 18:41:00
5017,326.0,completed,2024-06-20 10:09:00
5018,226.0,completed,2024-06-20 09:50:00
5019,141.0,completed,2024-06-04 02:19:00
5020,237.0,completed,2024-05-18 09:04:00
5021,331.0,completed,2024-06-04 12:29:00
5022,298.0,pending,2024-07-04 01:28:00
5023,293.0,completed,2024-06-17 15:32:00
5024,78.0,completed,2024-07-13 10:45:00
5025,44.0,pending,2024-04-06 07:45:00
5026,225.0,completed,2024-06-18 05:23:00
5027,191.0,completed,2024-07-09 10:43:00
5028,307.0,completed,2024-06-22 10:04:00
5029,169.0,completed,2024-05-20 09:16:00
5030,337.0,pending,2024-05-13 02:37:00
5031,340.0,completed,2024-05-10 20:44:00
5032,340.0,completed,2024-06-30 02:19:00
5033,287.0,cancelled,2024-05-13 04:42:00
5034,270.0,completed,2024-05-25 16:23:00
5035,10.0,completed,2024-04-28 10:49:00
5036,249.0,completed,2024-04-18 04:04:00
5037,152.0,completed,2024-06-09 23:56:00
5038,270.0,completed,2024-07-22 19:08:00
5039,306.0,completed,2024-04-24 22:49:00
5040,320.0,completed,2024-04-06 13:23:00
5041,347.0,completed,2024-05-27 19:18:00
5042,230.0,completed,2024-05-10 15:57:00
5043,100.0,cancelled,2024-06-13 14:29:00
5044,145.0,completed,2024-05-24 05:52:00
5045,103.0,completed,2024-05-03 01:41:00
5046,247.0,cancelled,2024-04-14 22:54:00
5047,265.0,completed,2024-07-07 05:17:00
5048,231.0,completed,2024-05-26 02:58:00
5049,114.0,cancelled,2024-07-29 00:26:00
5050,28.0,completed,2024-05-01 12:05:00
5051,192.0,completed,2024-07-29 03:53:00
5052,333.0,cancelled,2024-04-18 01:18:00
5053,242.0,pending,2024-07-07 22:30:00
5054,230.0,completed,2024-04-11 00:16:00
5055,111.0,completed,2024-07-03 19:33:00
5056,217.0,completed,2024-05-01 09:07:00
5057,25.0,completed,2024-07-11 19:29:00
5058,33.0,completed,2024-06-03 19:34:00
5059,9.0,completed,2024-05-01 22:09:00
5060,150.0,completed,2024-05-16 07:36:00
5061,214.0,completed,2024-04-11 16:23:00
5062,35.0,completed,2024-07-10 16:35:00
5063,11.0,cancelled,2024-04-06 20:24:00
5064,192.0,cancelled,2024-05-16 02:22:00
5065,124.0,pending,2024-04-14 18:47:00
5066,171.0,completed,2024-06-09 10:52:00
5067,330.0,completed,2024-06-27 14:44:00
5068,246.0,completed,2024-04-18 02:45:00
5069,235.0,completed,2024-04-06 06:56:00
5070,22.0,cancelled,2024-06-05 12:52:00
5071,279.0,completed,2024-07-06 20:12:00
5072,147.0,cancelled,2024-04-07 20:21:00
5073,140.0,completed,2024-05-26 12:47:00
5074,226.0,completed,2024-04-24 15:44:00
5075,255.0,cancelled,2024-06-06 08:51:00
5076,43.0,completed,2024-05-26 19:52:00
5077,93.0,completed,2024-04-14 02:20:00
5078,339.0,completed,2024-06-17 22:27:00
5079,86.0,completed,2024-05-28 01:46:00
5080,181.0,pending,2024-05-06 20:50:00
5081,30.0,completed,2024-05-22 11:32:00
5082,348.0,completed,2024-04-19 19:43:00
5083,225.0,completed,2024-05-01 20:23:00
5084,186.0,cancelled,2024-04-05 19:09:00
5085,348.0,cancelled,2024-05-18 14:48:00
5086,40.0,completed,2024-05-17 12:20:00
5087,333.0,completed,2024-04-15 00:47:00
5088,96.0,completed,2024-07-26 17:07:00
5089,135.0,cancelled,2024-04-28 19:18:00
5090,252.0,completed,2024-07-19 02:28:00
5091,89.0,completed,2024-04-12 21:54:00
5092,164.0,completed,2024-04-09 17:34:00
5093,149.0,cancelled,2024-07-01 22:59:00
5094,327.0,completed,2024-06-05 07:07:00
5095,103.0,completed,2024-06-03 00:23:00
5096,284.0,completed,2024-07-12 17:08:00
5097,314.0,completed,2024-05-21 22:46:00
5098,246.0,completed,2024-05-23 18:04:00
5099,65.0,cancelled,2024-05-28 14:43:00
5100,265.0,completed,2024-07-16 17:40:00
5101,301.0,completed,2024-04-17 13:32:00
5102,29.0,completed,2024-05-09 05:10:00
5103,166.0,completed,2024-07-30 16:57:00
5104,146.0,completed,2024-06-21 17:17:00
5105,65.0,completed,2024-06-08 02:32:00
5106,329.0,completed,2024-06-14 04:10:00
5107,338.0,pending,2024-06-17 10:53:00
5108,289.0,completed,2024-04-04 02:02:00
5109,329.0,completed,2024-04-27 18:26:00
5110,317.0,completed,2024-07-23 20:34:00
5111,149.0,pending,2024-06-01 07:51:00
5112,208.0,completed,2024-06-28 01:10:00
5113,226.0,completed,2024-04-27 10:38:00
5114,74.0,cancelled,2024-05-11 23:55:00
5115,177.0,completed,2024-05-18 16:35:00
5116,55.0,completed,2024-04-16 08:28:00
5117,127.0,completed,2024-05-08 12:55:00
5118,316.0,completed,2024-07-20 05:52:00
5119,168.0,pending,2024-04-25 05:31:00
5120,264.0,completed,2024-05-10 15:01:00
5121,47.0,completed,2024-05-01 06:37:00
5122,181.0,completed,2024-06-03 19:56:00
5123,335.0,completed,2024-06-08 00:54:00
5124,56.0,completed,2024-05-04 23:23:00
5125,207.0,completed,2024-04-07 18:35:00
5126,100.0,cancelled,2024-04-10 12:32:00
5127,231.0,completed,2024-06-19 21:39:00
5128,61.0,completed,2024-05-21 11:50:00
5129,174.0,pending,2024-07-06 04:12:00
5130,309.0,completed,2024-04-06 01:02:00
5131,71.0,completed,2024-05-31 16:29:00
5132,77.0,pending,2024-04-18 10:59:00
5133,314.0,completed,2024-06-18 23:53:00
5134,154.0,completed,2024-07-16 16:34:00
5135,251.0,pending,2024-05-31 00:23:00
5136,170.0,completed,2024-05-24 18:19:00
5137,323.0,completed,2024-05-04 20:50:00
5138,297.0,completed,2024-04-07 18:30:00
